day_index,day_of_week,is_weekend,hour,time_window,mins_to_next_train,is_festival,zone_id,zone_type,base_capacity,historical_station_flow_anchor,estimated_zone_flow,crowd_score,crowd_level,data_status
1,0,0,8,08:00-09:00,9,0,PF5,platform,600,46473,7455,65.82,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,8,08:00-09:00,7,0,PF11,platform,600,46473,7100,63.36,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,8,08:00-09:00,4,0,FOB_CENTRAL,bridge,280,46473,9903,80.54,VERY HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,8,08:00-09:00,2,0,FOB_SOUTH,bridge,280,46473,8949,76.69,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,8,08:00-09:00,12,0,EAST_SKYWALK,bridge,280,46473,5822,49.59,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,8,08:00-09:00,12,0,STAIRS_SOUTH,staircase,150,46473,8662,71.3,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,9,09:00-10:00,7,0,PF5,platform,600,52261,8384,79.5,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,9,09:00-10:00,5,0,PF11,platform,600,52261,8567,79.05,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,9,09:00-10:00,5,0,FOB_CENTRAL,bridge,280,52261,11137,98.0,VERY HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,9,09:00-10:00,12,0,FOB_SOUTH,bridge,280,52261,8783,78.26,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,9,09:00-10:00,2,0,EAST_SKYWALK,bridge,280,52261,7502,66.17,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,9,09:00-10:00,7,0,STAIRS_SOUTH,staircase,150,52261,9741,92.29,VERY HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,10,10:00-11:00,4,0,PF5,platform,600,47359,8151,69.88,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,10,10:00-11:00,9,0,PF11,platform,600,47359,7236,60.48,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,10,10:00-11:00,2,0,FOB_CENTRAL,bridge,280,47359,10778,92.67,VERY HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,10,10:00-11:00,15,0,FOB_SOUTH,bridge,280,47359,7959,67.49,HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,10,10:00-11:00,12,0,EAST_SKYWALK,bridge,280,47359,5933,52.87,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,10,10:00-11:00,4,0,STAIRS_SOUTH,staircase,150,47359,9471,82.94,VERY HIGH,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,11,11:00-12:00,7,0,PF5,platform,600,38983,6254,47.27,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,11,11:00-12:00,4,0,PF11,platform,600,38983,6390,53.4,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,11,11:00-12:00,5,0,FOB_CENTRAL,bridge,280,38983,8307,59.53,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,11,11:00-12:00,15,0,FOB_SOUTH,bridge,280,38983,6552,45.72,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,11,11:00-12:00,2,0,EAST_SKYWALK,bridge,280,38983,5596,44.53,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,11,11:00-12:00,7,0,STAIRS_SOUTH,staircase,150,38983,7266,53.08,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,12,12:00-13:00,9,0,PF5,platform,600,34360,5512,32.64,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,12,12:00-13:00,7,0,PF11,platform,600,34360,5250,35.39,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,12,12:00-13:00,15,0,FOB_CENTRAL,bridge,280,34360,6824,45.11,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,12,12:00-13:00,7,0,FOB_SOUTH,bridge,280,34360,5775,34.79,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,12,12:00-13:00,7,0,EAST_SKYWALK,bridge,280,34360,4305,27.77,LOW,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,12,12:00-13:00,12,0,STAIRS_SOUTH,staircase,150,34360,6405,41.46,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,13,13:00-14:00,4,0,PF5,platform,600,32337,5566,33.25,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,13,13:00-14:00,9,0,PF11,platform,600,32337,4941,30.95,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,13,13:00-14:00,12,0,FOB_CENTRAL,bridge,280,32337,6423,38.46,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,13,13:00-14:00,2,0,FOB_SOUTH,bridge,280,32337,6227,38.34,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,13,13:00-14:00,7,0,EAST_SKYWALK,bridge,280,32337,4051,22.75,LOW,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,13,13:00-14:00,9,0,STAIRS_SOUTH,staircase,150,32337,6027,33.87,MODERATE,CALIBRATED_SYNTHETIC_PROTOTYPE
1,0,0,14,14:00-15:00,7,0,PF5,platform,600,31476,5049,27.52,LOW,CALIBRATED_SYNTHETIC_PROTOTYPE
